id,user_response,latency,hero,for_hero,version,userIP,sessionID,item,iorder,itemn
264,2,2.791,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,35.13.21.61,2281,0,0,0
265,1,1.545,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),1,0.1,35.13.21.61,2281,0,0,0
266,1,0.914,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,35.13.21.61,2282,0,0,0
267,-1,0.945,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),1,0.1,35.13.21.61,2282,0,0,0
268,1,3.303,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,35.13.21.61,2283,0,0,0
269,-1,1.845,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),1,0.1,35.13.21.61,2283,0,0,0
270,1,1.516,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,35.13.21.61,2284,0,0,0
271,-1,1.467,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),1,0.1,35.13.21.61,2284,0,0,0
272,2,1.909,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,35.13.21.61,2285,0,0,0
273,-1,0.906,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),1,0.1,35.13.21.61,2285,0,0,0
274,1,1.876,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,35.13.21.61,2286,0,0,0
275,-1,1.286,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),1,0.1,35.13.21.61,2286,0,0,0
276,1,1.2,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,35.13.21.61,2287,0,0,0
277,-1,0.546,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),1,0.1,35.13.21.61,2287,0,0,0
278,1,1.326,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,35.13.21.61,2288,0,0,0
279,-1,1.054,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),1,0.1,35.13.21.61,2288,0,0,0
280,2,4.9,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,75.87.95.204,2292,0,0,0
281,1,3.187,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,75.87.95.204,2292,0,0,0
282,-2,6.024,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,75.87.95.204,2292,0,0,0
283,2,3.803,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,75.87.95.204,2292,0,0,0
284,-1,2.496,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,75.87.95.204,2292,0,0,0
285,-1,7.524,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,75.87.95.204,2292,0,0,0
286,1,2.672,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,75.87.95.204,2292,0,0,0
287,1,1.525,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,75.87.95.204,2292,0,0,0
288,2,1.463,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,75.87.95.204,2292,0,0,0
289,-1,1.297,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,75.87.95.204,2292,0,0,0
290,1,1.29,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,75.87.95.204,2292,0,0,0
291,1,1.073,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,75.87.95.204,2292,0,0,0
292,-2,3.404,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,75.87.95.204,2292,0,0,0
293,-2,1.874,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,75.87.95.204,2292,0,0,0
294,-2,1.152,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,75.87.95.204,2292,0,0,0
295,1,5.964,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),1,0.1,75.87.95.204,2292,0,0,0
